Name,Club,Nationality,Position,Age,Matches,Starts,Mins,Goals,Assists,Passes_Attempted,Perc_Passes_Completed,Penalty_Goals,Penalty_Attempted,xG,xA,Yellow_Cards,Red_Cards,,,
Kamil Grosicki,West Bromwich Albion,POL,"FW,MF",32,3,2,148,0,1,49,653,0,0,6,7,0,0,,,
Kyle Edwards,West Bromwich Albion,ENG,"MF,FW",22,5,1,118,0,0,35,857,0,0,11,0,0,0,,,
David Button,West Bromwich Albion,ENG,GK,31,1,1,90,0,0,37,432,0,0,0,0,0,0,,,
Ahmed Hegazi,West Bromwich Albion,EGY,DF,29,1,1,90,0,0,52,712,0,0,0,0,0,0,,,
Charlie Austin,West Bromwich Albion,ENG,FW,31,5,0,138,0,0,34,735,0,0,13,0,0,0,,,
Sam Field,West Bromwich Albion,ENG,MF,22,3,0,62,0,0,23,652,0,0,0,0,0,0,,,
Rekeem Harper,West Bromwich Albion,ENG,MF,20,2,0,32,0,0,16,813,0,0,12,0,0,0,,,
Aaron Ramsdale,Sheffield United,ENG,GK,22,38,38,3420,0,0,1141,491,0,0,0,0,1,0,,,
George Baldock,Sheffield United,ENG,DF,27,32,32,2787,0,2,1160,785,0,0,4,5,7,0,,,
Chris Basham,Sheffield United,ENG,"DF,MF",32,31,31,2576,0,1,1105,814,0,0,3,3,5,0,,,
Enda Stevens,Sheffield United,IRL,DF,30,30,30,2700,0,1,1427,775,0,0,4,5,6,0,,,
John Egan,Sheffield United,IRL,DF,27,31,30,2629,0,1,1094,846,0,0,2,1,7,1,,,
John Fleck,Sheffield United,SCO,MF,28,31,29,2575,0,2,1212,781,0,0,3,9,4,0,,,
David McGoldrick,Sheffield United,IRL,"FW,MF",32,35,28,2397,8,1,938,745,0,0,26,5,7,0,,,
Oliver Norwood,Sheffield United,NIR,MF,29,32,26,2220,0,0,1483,796,0,0,2,7,6,0,,,
Ethan Ampadu,Sheffield United,WAL,"DF,MF",19,25,23,2089,0,0,1064,805,0,0,1,4,3,0,,,
John Lundstram,Sheffield United,ENG,MF,26,28,23,2032,0,2,1041,810,0,1,9,5,8,1,,,
Ben Osborn,Sheffield United,ENG,"MF,DF",25,24,17,1604,1,0,839,790,0,0,7,12,1,0,,,
Oliver Burke,Sheffield United,SCO,FW,23,25,14,1269,1,1,262,706,0,0,17,13,2,0,,,
Sander Berge,Sheffield United,NOR,MF,22,15,13,1120,1,1,464,819,1,1,1,1,4,0,,,
Oliver McBurnie,Sheffield United,SCO,FW,24,23,12,1324,1,0,426,629,0,0,21,7,2,0,,,
Rhian Brewster,Sheffield United,ENG,FW,20,27,12,1128,0,0,225,693,0,0,14,13,1,0,,,
Jayden Bogle,Sheffield United,ENG,DF,20,16,12,1110,2,0,383,783,0,0,14,1,2,0,,,
Kean Bryan,Sheffield United,ENG,DF,23,13,12,1004,1,0,443,729,0,0,4,3,1,0,,,
Jack Robinson,Sheffield United,ENG,DF,26,11,9,877,0,1,439,806,0,0,4,9,3,0,,,
Billy Sharp,Sheffield United,ENG,FW,34,16,7,735,3,0,123,699,2,2,33,7,1,0,,,
Max Lowe,Sheffield United,ENG,DF,23,8,7,550,0,0,223,650,0,0,1,3,1,0,,,
Phil Jagielka,Sheffield United,ENG,DF,37,10,6,526,0,0,186,763,0,0,0,0,1,1,,,
Daniel Jebbison,Sheffield United,ENG,FW,17,4,3,284,1,0,34,706,0,0,5,1,0,0,,,
Lys Mousset,Sheffield United,FRA,"FW,MF",24,11,2,296,0,0,50,800,0,0,22,1,0,0,,,
Jack O'Connell,Sheffield United,ENG,DF,26,2,2,180,0,0,77,779,0,0,0,0,0,0,,,
Iliman Ndiaye,Sheffield United,FRA,MF,21,1,0,12,0,0,3,1000,0,0,0,0,0,0,,,
Antwoine Hackford,Sheffield United,ENG,"DF,FW",16,1,0,11,0,0,1,1000,0,0,116,0,0,0,,,
Femi Seriki,Sheffield United,ENG,DF,17,1,0,1,0,0,0,-10,0,0,0,0,0,0,,,
